"distrito","cod_actividad","categoria","subcategoria","actividad","estado"
"RM 1",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Permitido"
"RM 2",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Permitido"
"RM 3",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Permitido"
"RM 4",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Permitido"
"RM 5",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Permitido"
"CC 1",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Permitido"
"CC 2",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Permitido"
"CC 3",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Condicionado"
"CC 4",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Remitirse a Ficha de Distrito"
"CC 5",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Permitido"
"CC6",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Permitido"
"AC 1",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Permitido"
"AC 2",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Permitido"
"AC 3",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Permitido"
"AC 4",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Permitido"
"PIU",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Según Proyectos Estrategicos Puntales indicado en Parte III - Titulo I - CapituloIV - Seccion I"
"EE",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Según Proyectos Estrategicos Puntales indicado en Parte III - Titulo I - CapituloIV - Seccion I"
"PI",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Actividades Sujetas a Reglamento Interno de P.I."
"PARQUE ACTIVO",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Prohibido"
"PARQUE PASIVO",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Prohibido"
"DSA SL",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Permitido"
"DSA AN1",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Remitirse a Ficha de Distrito"
"DSA AN2",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Permitido"
"DSA Sur",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Remitirse a Ficha de Distrito"
"DSA Oeste",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Remitirse a Ficha de Distrito"
"RN",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Prohibido"
"PN",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Prohibido"
"FU",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Prohibido"
"NA",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Area no apta para actividades urbanas"
"IUS",NULL,"Residencial","Vivienda Unifamiliar","Vivienda Unifamiliar","Requieren la implementación de programas, proyectos y acciones para su recuperación, consolidación, integración al área urbana"
"RM 1",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Permitido"
"RM 2",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Permitido"
"RM 3",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Permitido"
"RM 4",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Condicionado"
"RM 5",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Condicionado"
"CC 1",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Permitido"
"CC 2",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Permitido"
"CC 3",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Permitido"
"CC 4",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Permitido"
"CC 5",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Permitido"
"CC6",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Permitido"
"AC 1",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Permitido"
"AC 2",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Permitido"
"AC 3",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Permitido"
"AC 4",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Prohibido"
"PIU",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar",NULL
"EE",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar",NULL
"PI",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar",NULL
"PARQUE ACTIVO",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Prohibido"
"PARQUE PASIVO",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Prohibido"
"DSA SL",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Remitirse a Ficha de Distrito"
"DSA AN1",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Permitido"
"DSA AN2",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Remitirse a Ficha de Distrito"
"DSA Sur",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Remitirse a Ficha de Distrito"
"DSA Oeste",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Remitirse a Ficha de Distrito"
"RN",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Prohibido"
"PN",NULL,"Residencial","Vivienda Multifamiliar","Vivienda Multifamiliar","Prohibido"
