"distrito","sub_distrito","sup_minima","frente_min","fot_privado","fot_publico","fos_vu","fos_vomf","fos_uc","r_jardin","r_fondo","r_perfil","altura_maxima","plantas","fos","r_frente","r_lateral","r_fondo2","r_desde_lm","altura_max","fuente","referencia"
"DSA SL",NULL,"10000","50","1.5",NULL,"0.03",NULL,"0.5",NULL,"10",NULL,"IND. Y LOG. / COMERCIAL / SERVICIOS: 12 / USO RESI- DENCIAL: 7.5",NULL,NULL,"10 (*2)","10",NULL,NULL,"IND. Y LOG. / COMERCIAL / SERVICIOS: 12 / USO RESI- DENCIAL: 7.5","DSA SAN LUIS","(*1) Altura de edificación para edificios entre medianeras sin aplicación del régimen de perímetro libre. (*2) Cuando la parcela colinde con áreas urbanas consolidadas y calles públicas, el retiro de jardín será de 12,00 m. (*3) Cuando el predio del conjunto colinde con áreas urbanas consolidadas y calles públicas, el retiro de jardín mínimo será de 12,00 m. (*4) El FOS se computará como el 0,50 de la superficie total del perímetro cerrado CLE. (*5) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte IV, Título I, Capítulo I - Del Régimen de las Actividades. Todas las actividades no enunciadas en la presente ficha se consideran actividades no permitidas para el distrito. (*6) Para actividades Comercial, Servicios (Depósitos) y Productivo (Industrial), se deberá cumplimentar con el Anexo IV Régimen Nave Industrial del Código de Edificación. (*7) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser demostrado mediante un estudio de movilidad, aprobado por el área correspondiente. (*8) Se priorizará su emplazamiento cercano al área urbana consolidada. (*9) Solo podrá permitirse en Conjuntos Logisticos Empresariales (CLE) mediante informe técnicamente fundado. (*10) Actividad solo permitida en Conjuntos Urbanísticos Especiales (Conjuntos Logísticos Especiales y Conjuntos de Usos Mixtos) (*11) Actividad permitida en Conjuntos LogÍsticos Empresariales (CLE) y condicionada en el resto del distrito DSA. (*12) Actividad de baja interferencia ambiental permitida. Actividad de media interferencia ambiental condicionada. (*13) A evaluar según cada proyecto en particular. Condicionado: Actividad Condicionada. Su autorización deberá realizarse a través de un informe técnicamente fundado, elaborado por el área correspondiente."
"DSA SL","DSA SAN LUIS (EN CONJUNTO LOGISTICO EMPRESARIAL (CLE))","10000",NULL,"ACTIVIDADES APOYO A LA INDUSTRIA Y LOGISTICA: 1.5",NULL,NULL,NULL,"0.5",NULL,"10",NULL,"ACT. APOYO INDUSTRIA Y LOGISTICA: 12 / VIVIENDA TRANSITORIA DE APOYO A LA ACT. IND. Y LOG.: 9",NULL,NULL,"10 (*3)","10",NULL,NULL,"ACT. APOYO INDUSTRIA Y LOGISTICA: 12 / VIVIENDA TRANSITORIA DE APOYO A LA ACT. IND. Y LOG.: 9","DSA SAN LUIS","(*1) Altura de edificación para edificios entre medianeras sin aplicación del régimen de perímetro libre. (*2) Cuando la parcela colinde con áreas urbanas consolidadas y calles públicas, el retiro de jardín será de 12,00 m. (*3) Cuando el predio del conjunto colinde con áreas urbanas consolidadas y calles públicas, el retiro de jardín mínimo será de 12,00 m. (*4) El FOS se computará como el 0,50 de la superficie total del perímetro cerrado CLE. (*5) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte IV, Título I, Capítulo I - Del Régimen de las Actividades. Todas las actividades no enunciadas en la presente ficha se consideran actividades no permitidas para el distrito. (*6) Para actividades Comercial, Servicios (Depósitos) y Productivo (Industrial), se deberá cumplimentar con el Anexo IV Régimen Nave Industrial del Código de Edificación. (*7) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser demostrado mediante un estudio de movilidad, aprobado por el área correspondiente. (*8) Se priorizará su emplazamiento cercano al área urbana consolidada. (*9) Solo podrá permitirse en Conjuntos Logisticos Empresariales (CLE) mediante informe técnicamente fundado. (*10) Actividad solo permitida en Conjuntos Urbanísticos Especiales (Conjuntos Logísticos Especiales y Conjuntos de Usos Mixtos) (*11) Actividad permitida en Conjuntos LogÍsticos Empresariales (CLE) y condicionada en el resto del distrito DSA. (*12) Actividad de baja interferencia ambiental permitida. Actividad de media interferencia ambiental condicionada. (*13) A evaluar según cada proyecto en particular. Condicionado: Actividad Condicionada. Su autorización deberá realizarse a través de un informe técnicamente fundado, elaborado por el área correspondiente."
"DSA SL","DSA SAN LUIS (EN CONJUNTOS MIXTOS (CUM))","600","20","VIVIENDA UNIFAMI- LIAR: 1 / VIVIENDA MULTI- FAMILIAR: 1.5 / COMERCIAL/SERVICIOS: (*13)",NULL,"0.5","0.5","(*13)",NULL,"5",NULL,"VIVIENDA UNIFAMILIAR/ COMERCIAL/ SERVICIOS: 7.5 / VIVIENDA MULTIFAMILIAR: 9",NULL,NULL,"5","3",NULL,NULL,"VIVIENDA UNIFAMILIAR/ COMERCIAL/ SERVICIOS: 7.5 / VIVIENDA MULTIFAMILIAR: 9","DSA SAN LUIS","(*1) Altura de edificación para edificios entre medianeras sin aplicación del régimen de perímetro libre. (*2) Cuando la parcela colinde con áreas urbanas consolidadas y calles públicas, el retiro de jardín será de 12,00 m. (*3) Cuando el predio del conjunto colinde con áreas urbanas consolidadas y calles públicas, el retiro de jardín mínimo será de 12,00 m. (*4) El FOS se computará como el 0,50 de la superficie total del perímetro cerrado CLE. (*5) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte IV, Título I, Capítulo I - Del Régimen de las Actividades. Todas las actividades no enunciadas en la presente ficha se consideran actividades no permitidas para el distrito. (*6) Para actividades Comercial, Servicios (Depósitos) y Productivo (Industrial), se deberá cumplimentar con el Anexo IV Régimen Nave Industrial del Código de Edificación. (*7) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser demostrado mediante un estudio de movilidad, aprobado por el área correspondiente. (*8) Se priorizará su emplazamiento cercano al área urbana consolidada. (*9) Solo podrá permitirse en Conjuntos Logisticos Empresariales (CLE) mediante informe técnicamente fundado. (*10) Actividad solo permitida en Conjuntos Urbanísticos Especiales (Conjuntos Logísticos Especiales y Conjuntos de Usos Mixtos) (*11) Actividad permitida en Conjuntos LogÍsticos Empresariales (CLE) y condicionada en el resto del distrito DSA. (*12) Actividad de baja interferencia ambiental permitida. Actividad de media interferencia ambiental condicionada. (*13) A evaluar según cada proyecto en particular. Condicionado: Actividad Condicionada. Su autorización deberá realizarse a través de un informe técnicamente fundado, elaborado por el área correspondiente."
"DSA AN1",NULL,"10000","80","1.2",NULL,"0.3",NULL,"0.2",NULL,"10",NULL,"15 (*1)",NULL,NULL,"10","10",NULL,NULL,"15 (*1)","DSA AN1","(*1) Se admitirán propuestas con mayores alturas, solo mediante evaluación y verificación de la aptitud ambiental (*2) A evaluar según cada proyecto en particular. (*3) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte III, Título I, Capítulo I - Del Régimen de las Actividades. Todas las actividades no enunciadas en la presente ficha se consideran actividades no permitidas para el distrito. (*4) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser aprobado por el área de Tránsito y autoridades competentes. (*5) Se deberá preveer una área de reserva vial, la cual se contabilizará desde el jee de la ruta de 30 metros a ambos lados, a los fines de consolidar una vía colectora conforme los requerimientos de las autoridades competentes (*6) En los conjuntos de usos mixtos, el factor de conservación de cobertura natural será aplicado en reemplazo de la faja de resguardo perimetral. El mismo deberá contemplarse en el plan de manejo Condicionado: Actividad Condicionada. Su autorización deberá realizarse a través de un informe técnicamente fundado, elaborado por el área correspondiente."
"DSA AN2","DSA AN1 (EN CONJUNTOS MIXTOS (CUM) (*6))","600","14","VIVIENDA UNIFAMILIAR: 1 / VIVIENDA MULTI- FAMILIAR: 1.5 / COMERCIAL/SERVICIOS: (*2)",NULL,"0.5","0.5","(*2)",NULL,"5",NULL,"VIVIENDA UNIFAMILIAR/COMERCIAL/ SERVICIOS: 7.5 / VIVIENDA MULTIFAMILIAR: 9",NULL,NULL,"5","3",NULL,NULL,"VIVIENDA UNIFAMILIAR/COMERCIAL/ SERVICIOS: 7.5 / VIVIENDA MULTIFAMILIAR: 9","DSA AN1","(*1) Se admitirán propuestas con mayores alturas, solo mediante evaluación y verificación de la aptitud ambiental (*2) A evaluar según cada proyecto en particular. (*3) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte III, Título I, Capítulo I - Del Régimen de las Actividades. Todas las actividades no enunciadas en la presente ficha se consideran actividades no permitidas para el distrito. (*4) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser aprobado por el área de Tránsito y autoridades competentes. (*5) Se deberá preveer una área de reserva vial, la cual se contabilizará desde el jee de la ruta de 30 metros a ambos lados, a los fines de consolidar una vía colectora conforme los requerimientos de las autoridades competentes (*6) En los conjuntos de usos mixtos, el factor de conservación de cobertura natural será aplicado en reemplazo de la faja de resguardo perimetral. El mismo deberá contemplarse en el plan de manejo Condicionado: Actividad Condicionada. Su autorización deberá realizarse a través de un informe técnicamente fundado, elaborado por el área correspondiente."
"DSA AN2",NULL,"10000","50","0.1",NULL,NULL,NULL,NULL,NULL,"10",NULL,"7.5",NULL,"0.03","10","10",NULL,NULL,"7.5","DSA AN2","(*1) A evaluar según cada proyecto en particular. (*2) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte III, Título I, Capítulo I - Del Régimen de las Actividades. (*3) Se podrán admitir actividades no enunciadas en tanto sean compatibles con el entorno residencial. Su autorización deberá realizarse a través de un informe técnicamente fundado, elaborado por el área correspondiente. (*4) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser aprobado por el área de Tránsito y autoridades competentes. (*5) Solo permitido en Conjunto de Usos Mixtos (CUM). (*6) En los conjuntos de usos mixtos, el factor de conservación de cobertura natural será aplicado en reemplazo de la faja de resguardo perimetral. El mismo deberá contemplarse en el plan de manejo (*7) Se deberá preveer una área de reserva vial, la cual se contabilizará desde el eje de la ruta de 30 metros a ambos lados, a los fines de consolidar una vía colectora conforme los requerimientos de las autoridades competentes (*8) Indicadores para DSA AN2 Ubicada al este de la Universidad Católica."
"DSA AN3","DSA AN2 (EN CONJUNTOS MIXTOS (CUM) (*6))",NULL,NULL,"VIVIENDA UNIFAMI- LIAR: 0.8 / VIVIENDA MULTI- FAMILIAR: 0.8 / COMERCIAL/SERVICIOS: (*1) (*8)",NULL,"0.4","0.4","(*1) (*8)",NULL,"5,00 (*8)",NULL,"VIVIENDA UNIFAMILIAR/ COMERCIAL: 7,50 (*8) / VIVIENDA MULTIFAMILIAR: 9,00 (*8)",NULL,NULL,"5,00 (*8)","3,00 (*8)",NULL,NULL,"VIVIENDA UNIFAMILIAR/ COMERCIAL: 7,50 (*8) / VIVIENDA MULTIFAMILIAR: 9,00 (*8)","DSA AN2","(*1) A evaluar según cada proyecto en particular. (*2) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte III, Título I, Capítulo I - Del Régimen de las Actividades. (*3) Se podrán admitir actividades no enunciadas en tanto sean compatibles con el entorno residencial. Su autorización deberá realizarse a través de un informe técnicamente fundado, elaborado por el área correspondiente. (*4) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser aprobado por el área de Tránsito y autoridades competentes. (*5) Solo permitido en Conjunto de Usos Mixtos (CUM). (*6) En los conjuntos de usos mixtos, el factor de conservación de cobertura natural será aplicado en reemplazo de la faja de resguardo perimetral. El mismo deberá contemplarse en el plan de manejo (*7) Se deberá preveer una área de reserva vial, la cual se contabilizará desde el eje de la ruta de 30 metros a ambos lados, a los fines de consolidar una vía colectora conforme los requerimientos de las autoridades competentes (*8) Indicadores para DSA AN2 Ubicada al este de la Universidad Católica."
"DSA AN4","DSA AN2 (EN CONJUNTOS MIXTOS (CUM) (*6))","600 (*8)",NULL,"1,00 (*8) / 1,50 (*8)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,50 (*8)",NULL,NULL,NULL,NULL,NULL,"DSA AN2","(*1) A evaluar según cada proyecto en particular. (*2) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte III, Título I, Capítulo I - Del Régimen de las Actividades. (*3) Se podrán admitir actividades no enunciadas en tanto sean compatibles con el entorno residencial. Su autorización deberá realizarse a través de un informe técnicamente fundado, elaborado por el área correspondiente. (*4) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser aprobado por el área de Tránsito y autoridades competentes. (*5) Solo permitido en Conjunto de Usos Mixtos (CUM). (*6) En los conjuntos de usos mixtos, el factor de conservación de cobertura natural será aplicado en reemplazo de la faja de resguardo perimetral. El mismo deberá contemplarse en el plan de manejo (*7) Se deberá preveer una área de reserva vial, la cual se contabilizará desde el eje de la ruta de 30 metros a ambos lados, a los fines de consolidar una vía colectora conforme los requerimientos de las autoridades competentes (*8) Indicadores para DSA AN2 Ubicada al este de la Universidad Católica."
"DSA SUR",NULL,"10000","50","1.5",NULL,NULL,NULL,"0.6",NULL,"10",NULL,"IND. Y LOG. / COMERCIAL / SERVICIOS: 12",NULL,NULL,"10 (*2)","10",NULL,NULL,"IND. Y LOG. / COMERCIAL / SERVICIOS: 12","DSA SUR","(*1) Alturas Máximas para Edificios entre Medianeras sin aplicación del Régimen de Suelo Creado ni régimen de Edificios en Perímetro Libre. (*2) Cuando la parcela colinde con áreas urbanas consolidadas y calles públicas, el retiro de jardín será de 12,00 m. (*3) Cuando el predio del conjunto colinde con áreas urbanas consolidadas y calles públicas, el retiro de jardín mínimo será de 12,00 m. (*4) El FOS se computará como el 0,50 de la superficie total del perímetro cerrado CLE. (*5) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte IV, Título I, Capítulo I - Del Régimen de las Actividades. Todas las actividades no enunciadas en la presente ficha se consideran actividades no permitidas para el distrito. (*6) Para actividades Comercial, Servicios (Depósitos) y Productivo (Industrial), se deberá cumplimentar con el Anexo IV Régimen Nave Industrial del Código de Edificación. (*7) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser demostrado mediante un estudio de movilidad, aprobado por el área correspondiente. (*8) Se priorizará su emplazamiento cercano al área urbana consolidada. (*9) Solo podrá permitirse en Conjuntos Logisticos Empresariales (CLE) mediante informe técnicamente fundado. (*10) Actividad solo permitida en Conjuntos Logísticos Empresariales (CLE) y/o Conjuntos de Usos Mixtos (CUM). (*11) Actividad permitida en Conjuntos LogÍsticos Empresariales (CLE) y condicionada en el resto del distrito DSA. (*12) Actividad de baja interferencia ambiental permitida. Actividad de media interferencia ambiental condicionada. (*13) A evaluar según cada proyecto en particular. Condicionado: Actividad Condicionada. Su autorización deberá realizarse a través de un informe técnicamente fundado, elaborado por el área correspondiente. (*3) Cuando el predio del conjunto colinde con red pública, el retiro de borde mínimo será de 12,00 m."
"DSA SUR","DSA SUR (EN CONJUNTO LOGISTICO EMPRESARIAL (CLE))","10000",NULL,"ACTIVIDADES APOYO A LA INDUSTRIA Y LOGISTICA: 1.5",NULL,NULL,NULL,"0.6",NULL,"10",NULL,"ACT. APOYO INDUSTRIA Y LOGISTICA: 12 / VIVIENDA TRANSITORIA DE APOYO A LA ACT. IND. Y LOG.: 9",NULL,NULL,"10 (*3)","10",NULL,NULL,"ACT. APOYO INDUSTRIA Y LOGISTICA: 12 / VIVIENDA TRANSITORIA DE APOYO A LA ACT. IND. Y LOG.: 9","DSA SUR","(*1) Alturas Máximas para Edificios entre Medianeras sin aplicación del Régimen de Suelo Creado ni régimen de Edificios en Perímetro Libre. (*2) Cuando la parcela colinde con áreas urbanas consolidadas y calles públicas, el retiro de jardín será de 12,00 m. (*3) Cuando el predio del conjunto colinde con áreas urbanas consolidadas y calles públicas, el retiro de jardín mínimo será de 12,00 m. (*4) El FOS se computará como el 0,50 de la superficie total del perímetro cerrado CLE. (*5) Las actividades se encuentran definidas en el Código de Planeamiento Urbano Ambiental, Parte IV, Título I, Capítulo I - Del Régimen de las Actividades. Todas las actividades no enunciadas en la presente ficha se consideran actividades no permitidas para el distrito. (*6) Para actividades Comercial, Servicios (Depósitos) y Productivo (Industrial), se deberá cumplimentar con el Anexo IV Régimen Nave Industrial del Código de Edificación. (*7) Los accesos vehiculares de los proyectos deberán resolverse de tal manera de no sobrecargar el flujo de las vias primarias, lo cual deberá ser demostrado mediante un estudio de movilidad, aprobado por el área correspondiente. (*8) Se priorizará su emplazamiento cercano al área urbana consolidada. (*9) Solo podrá permitirse en Conjuntos Logisticos Empresariales (CLE) mediante informe técnicamente fundado. (*10) Actividad solo permitida en Conjuntos Logísticos Empresariales (CLE) y/o Conjuntos de Usos Mixtos (CUM). (*11) Actividad permitida en Conjuntos LogÍsticos Empresariales (CLE) y condicionada en el resto del distrito DSA. (*12) Actividad de baja interferencia ambiental permitida. Actividad de media interferencia ambiental condicionada. (*13) A evaluar según cada proyecto en particular. Condicionado: Actividad Condicionada. Su autorización deberá realizarse a través de un informe técnicamente fundado, elaborado por el área correspondiente. (*3) Cuando el predio del conjunto colinde con red pública, el retiro de borde mínimo será de 12,00 m."
