"zona","valor_suelo_min","valor_suelo_max","fot_privado","incidencia"
1,"30","40","2.4",NULL
3,"100","140","2.4",NULL
4,"100","140","2.4",NULL
5,"120","160","2.4",NULL
8,"150","200","2.4",NULL
11,"150","200","2.4",NULL
12,"150","200","2.4",NULL
13,"150","200","2.4",NULL
14,"120","180","3",NULL
16,"150","250","4.2",NULL
17,"200","300","1.1",NULL
19,"200","500","5.4",NULL
20,"200","300","5.4",NULL
23,"70","100","1.1",NULL
24,"30","40","1.8",NULL
25,"30","40","1.8",NULL
26,"150","300","2.4",NULL
1,"30","40","2.4","12.5"
3,"100","140","2.4","41.666667"
4,"100","140","2.4","41.666667"
5,"120","160","2.4","50"
8,"150","200","2.4","62.5"
11,"150","200","2.4","62.5"
12,"150","200","2.4","62.5"
13,"150","200","2.4","62.5"
14,"120","180","3","40"
16,"150","250","4.2","35.714286"
17,"200","300","1.1","181.818182"
19,"200","500","5.4","37.037037"
20,"200","300","5.4","37.037037"
23,"70","100","1.1","63.636364"
24,"30","40","1.8","16.666667"
25,"30","40","1.8","16.666667"
26,"150","300","2.4","62.5"
